trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.9973834030727111, 'e': 0.2698200563846868}",25,12,22.519079512323177,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9973634554046497, 'e': 0.26713530196585034}",20,11,-2.1947434707361735,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.9973435081355415, 'e': 0.26447726129982396}",25,9,18.036123039740616,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9973235612653788, 'e': 0.261845668580326}",30,9,-65.5431378525035,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
135,False,"{'a': 0.9973036147941534, 'e': 0.2592402606458915}",25,4,-26.2081137620531,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.9972836687218576, 'e': 0.2566607769535559}",30,10,23.538781238522674,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.9972637230484831, 'e': 0.25410695955280027}",20,9,-22.113298607442772,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.9972437777740221, 'e': 0.25157855305975646}",25,15,-21.443600579047047,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.9972238328984666, 'e': 0.24907530463166816}",30,15,24.624196484769165,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.9972038884218086, 'e': 0.24659696394160643}",20,6,21.671083068231763,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9971839443440401, 'e': 0.2441432831534371}",25,0,26.173336372817488,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.9971640006651532, 'e': 0.24171401689703645}",20,0,3.070171211676662,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.9971440573851399, 'e': 0.23930892224375455}",20,7,15.015003534865354,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9971241145039922, 'e': 0.23692775868212176}",30,13,18.07565034839992,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.9971041720217021, 'e': 0.23457028809379765}",25,14,6.851351974926587,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9970842299382616, 'e': 0.23223627472975883}",20,9,20.761936343853986,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9970642882536629, 'e': 0.22992548518672384}",25,19,11.85510249130146,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9970443469678978, 'e': 0.22763768838381274}",25,4,6.7380125385824154,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.9970244060809584, 'e': 0.22537265553943872}",25,15,-32.126887730250246,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.9970044655928367, 'e': 0.22313016014842982}",25,9,7.708878260579283,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.9969845255035249, 'e': 0.2209099779593782}",20,1,-25.33717370052699,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
152,False,"{'a': 0.9969645858130148, 'e': 0.21871188695221475}",20,7,-46.122655861627614,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.9969446465212985, 'e': 0.21653566731600707}",20,0,13.049718018970964,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
154,False,"{'a': 0.996924707628368, 'e': 0.21438110142697794}",20,0,7.709792147393493,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.9969047691342154, 'e': 0.21224797382674304}",20,13,4.353264680720433,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.9968848310388327, 'e': 0.21013607120076472}",25,15,14.414463592157485,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.996864893342212, 'e': 0.20804518235702046}",25,6,5.799591613224481,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.9968449560443451, 'e': 0.20597509820488344}",25,9,7.5316449776110295,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.9968250191452243, 'e': 0.20392561173421342}",20,12,13.863437732551118,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
