trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9992003119209738, 'e': 0.6703200460356393}",20,0,-80.82014883768572,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.9991803279147354, 'e': 0.6636502501363194}",30,0,-192.78429780028046,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
42,False,"{'a': 0.999160344308177, 'e': 0.6570468198150567}",25,5,-103.94068892165134,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
43,False,"{'a': 0.9991403611012909, 'e': 0.6505090947233165}",20,0,-161.7182922276482,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
44,False,"{'a': 0.9991203782940689, 'e': 0.6440364210831414}",30,3,-65.26601221280723,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 1}",1
45,False,"{'a': 0.9991003958865029, 'e': 0.6376281516217733}",25,0,-14.350686914644195,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.9990804138785851, 'e': 0.631283645506926}",20,0,-66.65254808306835,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.9990604322703076, 'e': 0.6250022682827008}",20,2,-24.496389126316807,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.9990404510616622, 'e': 0.6187833918061408}",30,10,-94.46981610472201,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
49,False,"{'a': 0.999020470252641, 'e': 0.6126263941844161}",25,0,-100.17086309137719,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.9990004898432359, 'e': 0.6065306597126334}",25,0,-129.4195773446984,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
51,False,"{'a': 0.998980509833439, 'e': 0.6004955788122659}",25,0,-24.47204788666445,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.9989605302232423, 'e': 0.5945205479701944}",30,8,-15.14023217618595,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
53,False,"{'a': 0.9989405510126378, 'e': 0.5886049696783552}",35,20,-64.63430662284864,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
54,False,"{'a': 0.9989205722016176, 'e': 0.5827482523739896}",20,0,6.634504546603564,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.9989005937901735, 'e': 0.5769498103804866}",20,0,8.424528027196825,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
